molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL191334,COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,1390.0,intermediate
CHEMBL583413,Cc1ccc2c(c1)C1=C(C(c3ccc(Br)cc3)O2)C(c2ccc(Br)cc2)n2ncnc2N1C,3000.0,intermediate
CHEMBL584512,Cc1cc2c(cc1F)OC(c1ccc(Br)cc1)C1=C2N(C)c2ncnn2C1c1ccc(Br)cc1,11400.0,inactive
CHEMBL567403,CN1C2=C(C(c3ccc(Br)cc3)Oc3ccc(F)cc32)C(c2ccc(Br)cc2)n2ncnc21,44300.0,inactive
CHEMBL583626,CCOc1cccc2c1C1=C(C(c3ccc(Br)cc3)O2)C(c2ccc(Br)cc2)n2ncnc2N1C,6500.0,intermediate
CHEMBL567636,CN1C2=C(C(c3ccc(Cl)cc3)Oc3ccccc32)C(c2ccc(Br)cc2)n2ncnc21,15000.0,inactive
CHEMBL584299,CN1C2=C(C(c3ccc(Cl)cc3)Oc3ccccc32)C(c2ccc(Cl)cc2)n2ncnc21,9370.0,intermediate
CHEMBL2059300,CC[C@@H](C(=O)OC(C)(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,1000.0,active
CHEMBL2059435,CC[C@@H]([C@H](C)O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,760.0,active
CHEMBL2177191,CC[C@@H](CO)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,1500.0,intermediate
CHEMBL2177190,CCC(CC)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5500.0,intermediate
CHEMBL2177189,CC[C@@H](C(=O)OC(C)(C)C)N1C(=O)[C@@](C)(Cc2nnn[nH]2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,1600.0,intermediate
CHEMBL2177188,CC[C@@H](C(=O)OC(C)(C)C)N1C(=O)[C@@H](Cc2nnn[nH]2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,3100.0,intermediate
CHEMBL2177187,CC[C@@H](C(=O)OC(C)(C)C)N1C(=O)[C@@H](CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,4300.0,intermediate
CHEMBL2177186,CCOC(=O)[C@H](CC)N1C(=O)[C@@H](CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10700.0,inactive
CHEMBL2177813,O=C(O)C[C@H]1C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,34400.0,inactive
CHEMBL2396661,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,10000.0,inactive
CHEMBL1615026,Cc1cc(/N=N/c2cc(S(=O)(=O)O)c(C)cc2C)c(N)cc1O,5000.0,intermediate
CHEMBL3422267,CCCCC[C@H](O[C@@H]1O[C@@H]([C@H](O)CO)[C@H](O)[C@H]1O)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O,6200.0,intermediate
CHEMBL3422268,CCCCC[C@H](O[C@@H]1O[C@@H]([C@H](O)CO)[C@H](O)[C@H]1OC(C)=O)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O,6200.0,intermediate
CHEMBL3622373,COc1ccc(CCc2nc3cc(-c4c(C)noc4C)ccc3n2C[C@H](C)N2CCOCC2)cc1Cl,1500.0,intermediate
CHEMBL3643413,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,3000.0,intermediate
CHEMBL4438921,O=C(N/N=C/c1ccc2c(c1)OCO2)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,3000.0,intermediate
